ma,cay,ma1,khoa,loai,vido,tenhc,kinhdo,matinh,tentinh,matinhxa,dansonguoi,trungtamhc,dientichkm2,truocsapnhap,area
1644,1551.1644,1435,17Tam Đồng,xã,18.8092,Tam Đồng,105.238,17,tỉnh Nghệ An,17.1435,26382,UBND xã Thanh Liên,53.38,"Xã Thanh Liên, Xã Thanh Mỹ, Xã Thanh Tiên",54070078.0
1584,1551.1584,1436,17Hoa Quân,xã,18.7541,Hoa Quân,105.287,17,tỉnh Nghệ An,17.1436,32149,UBND xã Thanh Thịnh,107.67,"Xã Thanh An, Xã Thanh Hương, Xã Thanh Quả, Xã Thanh Thịnh",108416351.0
1676,1551.1676,1437,17Xuân Lâm,xã,18.7264,Xuân Lâm,105.406,17,tỉnh Nghệ An,17.1437,40624,UBND xã Xuân Dương,60.88,"Xã Ngọc Sơn (huyện Thanh Chương), Xã Minh Tiến, Xã Xuân Dương",61543280.0
1595,1551.1595,1438,17Kim Bảng,xã,18.6622,Kim Bảng,105.289,17,tỉnh Nghệ An,17.1438,27936,UBND xã Kim Bảng,183.26,"Xã Thanh Hà, Xã Thanh Thủy, Xã Kim Bảng",185516293.0
1558,1551.1558,1439,17Bích Hào,xã,18.6325,Bích Hào,105.409,17,tỉnh Nghệ An,17.1439,33960,UBND xã Mai Giang,147.06,"Xã Mai Giang, Xã Thanh Lâm, Xã Thanh Tùng, Xã Thanh Xuân",148653680.0
1650,1551.165,1440,17Tân Kỳ,xã,19.0753,Tân Kỳ,105.299,17,tỉnh Nghệ An,17.144,32974,UBND huyện Tân Kỳ,116.50,"Thị trấn Tân Kỳ, Xã Nghĩa Dũng, Xã Kỳ Tân, Xã Kỳ Sơn",117826788.0
1580,1551.158,1441,17Giai Xuân,xã,19.1769,Giai Xuân,105.197,17,tỉnh Nghệ An,17.1441,14160,UBND xã Giai Xuân,121.55,"Xã Tân Hợp, Xã Giai Xuân",120364671.0
1652,1551.1652,1442,17Tân Phú,xã,19.153,Tân Phú,105.291,17,tỉnh Nghệ An,17.1442,28878,UBND xã Diễn Lộc và Diễn Thọ,93.32,"Xã Nghĩa Thái (huyện Tân Kỳ), Xã Hoàn Long, Xã Tân Xuân, Xã Tân Phú",94091752.0
1618,1551.1618,1443,17Nghĩa Đồng,xã,19.16,Nghĩa Đồng,105.371,17,tỉnh Nghệ An,17.1443,20195,UBND xã Nghĩa Đồng,72.43,"Xã Bình Hợp, Xã Nghĩa Đồng",72392512.0
1648,1551.1648,1444,17Tân An,xã,19.083,Tân An,105.184,17,tỉnh Nghệ An,17.1444,22775,UBND xã Tân An,90.41,"Xã Hương Sơn, Xã Nghĩa Phúc, Xã Tân An",93761747.0
1661,1551.1661,1445,17Tiên Đồng,xã,19.1201,Tiên Đồng,105.105,17,tỉnh Nghệ An,17.1445,19663,UBND xã Đồng Văn,119.62,"Xã Đồng Văn (huyện Tân Kỳ), Xã Tiên Kỳ",121068535.0
1619,1551.1619,1446,17Nghĩa Hành,xã,19.0099,Nghĩa Hành,105.19,17,tỉnh Nghệ An,17.1446,22312,UBND xã Nghĩa Hành,112.00,"Xã Phú Sơn, Xã Tân Hương, Xã Nghĩa Hành",109561389.0
1573,1551.1573,1447,17Diễn Châu,xã,18.9848,Diễn Châu,105.596,17,tỉnh Nghệ An,17.1447,63294,UBND huyện Diễn Châu,22.21,"Thị trấn Diễn Thành, Xã Diễn Hoa, Xã Diễn Phúc, Xã Ngọc Bích",22779111.0
1588,1551.1588,1448,17Hùng Châu,xã,19.1222,Hùng Châu,105.563,17,tỉnh Nghệ An,17.1448,55583,UBND xã Diễn Yên và Diễn Đoài,69.11,"Xã Diễn Đoài, Xã Diễn Lâm, Xã Diễn Trường, Xã Diễn Yên",70035629.0
1581,1551.1581,1449,17Hải Châu,xã,19.0718,Hải Châu,105.629,17,tỉnh Nghệ An,17.1449,43155,UBND xã Hùng Hải và Diễn Mỹ,29.13,"Xã Diễn Hoàng, Xã Diễn Kim, Xã Diễn Mỹ, Xã Hùng Hải",29424465.0
1578,1551.1578,1450,17Đức Châu,xã,19.0367,Đức Châu,105.59,17,tỉnh Nghệ An,17.145,40899,UBND xã Diễn Hồng và Diễn Kỷ,20.97,"Xã Diễn Hồng, Xã Diễn Kỷ, Xã Diễn Phong, Xã Diễn Vạn",21055966.0
560,495.056,1451,15Thảo Nguyên,phường,20.8722,Thảo Nguyên,104.687,15,tỉnh Sơn La,15.1451,22479,"Tổ dân phố 40, phường Thảo Nguyên, tỉnh Sơn La",53.09,"Phường Cờ Đỏ, Phường Thảo Ngu yên",53666533.0
1633,1551.1633,1452,17Quỳ Châu,xã,19.5816,Quỳ Châu,105.163,17,tỉnh Nghệ An,17.1452,23094,UBND huyện Quỳ Châu,327.53,"Thị trấn Tân Lạc, Xã Châu Hạnh, Xã Châu Hội, Xã Châu Nga",330432017.0
